Group,Case,Move,Time,Iteration
1,1,29,1,0
1,2,29,1,0
1,3,29,1,0
1,4,29,1,0
1,5,29,3,0
1,6,29,1,0
1,7,29,1,0
1,8,29,1,0
1,9,29,1,0
1,10,29,1,0
1,11,31,3084,27
1,12,29,1,0
1,13,29,1,0
1,14,29,1,0
1,15,29,1,0
1,16,29,0,0
1,17,29,0,0
1,18,29,3,1
1,19,29,1,0
1,20,29,1,0
2,1,36,1,0
2,2,36,1,0
2,3,36,1,0
2,4,36,1,0
2,5,36,1,0
2,6,36,1,0
2,7,36,1,0
2,8,36,1,0
2,9,36,1,0
2,10,36,1,0
2,11,36,1,0
2,12,36,1,0
2,13,36,1,0
2,14,36,1,0
2,15,36,1,0
2,16,36,1,0
2,17,36,1,0
2,18,36,0,0
2,19,36,1,0
2,20,36,1,0
3,1,29,1,0
3,2,29,1,0
3,3,29,2,1
3,4,29,1,0
3,5,29,1,0
3,6,29,1,0
3,7,29,1,0
3,8,29,1,0
3,9,29,1,0
3,10,29,1,0
3,11,29,1,0
3,12,29,1,0
3,13,29,1,0
3,14,30,2215,22
3,15,29,1,0
3,16,29,1,0
3,17,29,23,2
3,18,29,1,0
3,19,30,1862,23
3,20,29,9,1
4,1,36,1,0
4,2,36,1,0
4,3,36,1,0
4,4,36,1,0
4,5,36,1,0
4,6,36,0,0
4,7,36,1,0
4,8,36,0,0
4,9,36,1,0
4,10,36,1,0
4,11,36,1,0
4,12,36,2,1
4,13,36,7,1
4,14,36,1,0
4,15,36,1,0
4,16,36,1,0
4,17,36,1,0
4,18,36,1,0
4,19,36,1,0
4,20,36,1,0
5,1,43,11050,38
5,2,42,8905,40
5,3,40,6012,27
5,4,40,5088,30
5,5,41,7467,33
5,6,42,8139,37
5,7,41,8587,31
5,8,42,7561,31
5,9,42,7660,38
5,10,39,62,2
5,11,43,6802,33
5,12,42,10041,37
5,13,41,8006,35
5,14,41,6372,34
5,15,41,6071,30
5,16,41,7878,31
5,17,43,8232,36
5,18,46,14046,44
5,19,40,5615,34
5,20,40,2902,14
6,1,50,12597,44
6,2,50,9739,42
6,3,50,11120,46
6,4,50,11208,39
6,5,50,8566,33
6,6,52,9256,31
6,7,51,12770,45
6,8,49,8192,41
6,9,49,6150,31
6,10,50,9506,42
6,11,51,12016,46
6,12,51,12110,44
6,13,51,12667,47
6,14,49,7642,34
6,15,49,5259,21
6,16,53,15034,48
6,17,51,10897,43
6,18,51,11290,45
6,19,50,11088,41
6,20,49,8589,43
7,1,41,8782,32
7,2,44,10588,41
7,3,48,14039,44
7,4,40,8537,32
7,5,44,12109,40
7,6,44,7601,29
7,7,44,9749,34
7,8,42,8533,31
7,9,43,12267,37
7,10,45,12349,41
7,11,44,11734,38
7,12,42,11002,35
7,13,43,12314,42
7,14,40,5266,25
7,15,41,6623,33
7,16,41,7737,35
7,17,44,12968,39
7,18,43,14386,41
7,19,41,6494,31
7,20,43,10145,37
8,1,52,14811,45
8,2,51,13714,42
8,3,52,15282,46
8,4,49,8308,37
8,5,48,6,1
8,6,52,15172,49
8,7,50,10487,42
8,8,52,13196,45
8,9,51,14765,46
8,10,52,16815,50
