Group,Case,Move,Time
1,1,29,49
1,2,29,3
1,3,29,3
1,4,29,4
1,5,29,3
1,6,29,3
1,7,29,3
1,8,29,3
1,9,29,3
1,10,29,2
1,11,31,2
1,12,29,2
1,13,29,3
1,14,29,2
1,15,29,2
1,16,29,2
1,17,29,2
1,18,30,2
1,19,29,2
1,20,29,1
2,1,36,2
2,2,36,2
2,3,36,2
2,4,36,3
2,5,36,2
2,6,36,2
2,7,36,42
2,8,36,1
2,9,36,1
2,10,36,1
2,11,36,1
2,12,36,2
2,13,36,1
2,14,36,1
2,15,36,1
2,16,36,2
2,17,36,2
2,18,36,1
2,19,36,2
2,20,36,2
3,1,29,2
3,2,29,2
3,3,30,2
3,4,29,2
3,5,29,2
3,6,29,1
3,7,29,1
3,8,29,1
3,9,29,2
3,10,29,2
3,11,29,1
3,12,29,2
3,13,29,1
3,14,31,2
3,15,29,2
3,16,29,36
3,17,30,1
3,18,29,2
3,19,31,1
3,20,30,1
4,1,36,1
4,2,36,1
4,3,36,1
4,4,36,1
4,5,36,1
4,6,36,2
4,7,36,1
4,8,36,2
4,9,36,1
4,10,36,2
4,11,36,2
4,12,37,1
4,13,38,2
4,14,36,2
4,15,36,2
4,16,36,2
4,17,36,2
4,18,36,2
4,19,36,2
4,20,36,2
5,1,55,2
5,2,44,3
5,3,40,2
5,4,42,3
5,5,52,3
5,6,46,2
5,7,42,3
5,8,45,3
5,9,44,3
5,10,40,2
5,11,59,3
5,12,43,3
5,13,45,3
5,14,44,3
5,15,43,3
5,16,45,1
5,17,53,3
5,18,53,3
5,19,43,3
5,20,48,2
6,1,54,3
6,2,52,12
6,3,58,2
6,4,62,2
6,5,54,3
6,6,58,2
6,7,57,3
6,8,50,3
6,9,55,3
6,10,50,2
6,11,59,1
6,12,55,2
6,13,54,2
6,14,50,2
6,15,56,2
6,16,65,1
6,17,60,1
6,18,57,2
6,19,52,2
6,20,52,3
7,1,48,3
7,2,50,3
7,3,55,2
7,4,53,2
7,5,50,1
7,6,53,2
7,7,48,2
7,8,51,2
7,9,48,2
7,10,61,2
7,11,52,1
7,12,48,1
7,13,49,3
7,14,44,2
7,15,47,3
7,16,49,2
7,17,51,2
7,18,50,3
7,19,45,4
7,20,47,3
8,1,55,2
8,2,55,3
8,3,62,2
8,4,55,3
8,5,51,2
8,6,65,2
8,7,59,3
8,8,59,2
8,9,53,2
8,10,59,2
8,11,66,1
8,12,61,3
8,13,63,2
8,14,53,3
8,15,51,3
8,16,58,2
8,17,52,3
8,18,55,3
8,19,65,3
8,20,55,2
9,1,54,4
9,2,53,3
9,3,54,4
9,4,50,3
9,5,57,4
9,6,60,3
9,7,67,4
9,8,65,4
9,9,54,3
9,10,58,2
9,11,53,4
9,12,50,5
9,13,51,5
9,14,51,4
9,15,64,4
9,16,61,4
9,17,52,5
9,18,50,5
9,19,65,4
9,20,57,4
10,1,66,4
10,2,58,3
10,3,60,3
10,4,66,4
10,5,61,5
10,6,63,3
10,7,58,3
10,8,61,4
10,9,63,4
10,10,62,4
10,11,63,4
10,12,63,5
10,13,60,5
10,14,63,2
10,15,61,11
10,16,61,3
10,17,62,2
10,18,59,2
10,19,61,3
10,20,60,3
11,1,63,3
11,2,55,2
11,3,50,3
11,4,59,4
11,5,51,4
11,6,56,3
11,7,57,4
11,8,55,3
11,9,59,3
11,10,52,4
11,11,62,3
11,12,51,3
11,13,52,4
11,14,55,4
11,15,54,2
11,16,53,4
11,17,56,4
11,18,50,2
11,19,55,4
11,20,55,4
12,1,64,4
12,2,59,4
12,3,61,3
12,4,63,2
12,5,60,3
12,6,65,2
12,7,61,3
12,8,64,4
12,9,59,4
12,10,60,4
12,11,60,2
12,12,59,4
12,13,62,4
12,14,59,3
12,15,63,2
12,16,64,3
12,17,61,5
12,18,61,4
12,19,60,4
12,20,64,2
13,1,92,3
13,2,97,18
13,3,92,4
13,4,93,5
13,5,103,5
13,6,91,6
13,7,92,6
13,8,96,6
13,9,94,5
13,10,93,6
13,11,80,6
13,12,99,6
13,13,106,5
13,14,99,5
13,15,106,3
13,16,92,4
13,17,107,4
13,18,91,4
13,19,109,6
13,20,98,4
14,1,125,6
14,2,114,6
14,3,102,3
14,4,126,3
14,5,119,5
14,6,112,3
14,7,98,4
14,8,107,6
14,9,125,3
14,10,102,4
14,11,98,3
14,12,120,4
14,13,136,4
14,14,120,4
14,15,110,7
14,16,124,7
14,17,124,7
14,18,109,6
14,19,111,4
14,20,139,6
15,1,100,6
15,2,98,7
15,3,96,6
15,4,107,11
15,5,99,5
15,6,96,5
15,7,103,6
15,8,100,8
15,9,101,8
15,10,91,8
15,11,99,5
15,12,89,8
15,13,104,7
15,14,101,7
15,15,96,4
15,16,96,5
15,17,104,5
15,18,99,6
15,19,110,8
15,20,100,5
16,1,103,5
16,2,112,9
16,3,128,7
16,4,117,6
16,5,128,6
16,6,105,7
16,7,116,6
16,8,112,5
16,9,129,7
16,10,116,6
16,11,115,6
16,12,124,6
16,13,113,6
16,14,127,4
16,15,103,4
16,16,112,6
16,17,117,6
16,18,119,4
16,19,102,5
16,20,111,6
17,1,36,4
17,2,36,2
17,3,37,2
17,4,38,3
17,5,37,3
17,6,36,2
17,7,36,2
17,8,37,2
17,9,36,2
17,10,36,2
17,11,38,2
17,12,36,1
17,13,36,1
17,14,38,2
17,15,36,2
17,16,36,2
17,17,36,2
17,18,36,2
17,19,37,3
17,20,36,2
18,1,45,1
18,2,45,3
18,3,45,2
18,4,45,2
18,5,45,2
18,6,45,2
18,7,45,2
18,8,45,2
18,9,45,3
18,10,45,3
18,11,47,2
18,12,45,3
18,13,45,1
18,14,45,1
18,15,45,1
18,16,45,1
18,17,47,1
18,18,45,2
18,19,45,2
18,20,45,2
19,1,36,3
19,2,36,2
19,3,37,2
19,4,36,2
19,5,36,1
19,6,40,2
19,7,36,3
19,8,39,3
19,9,38,2
19,10,36,2
19,11,36,1
19,12,38,1
19,13,36,1
19,14,36,2
19,15,37,2
19,16,37,2
19,17,36,2
19,18,37,3
19,19,36,1
19,20,36,2
20,1,45,3
20,2,45,3
20,3,45,3
20,4,45,4
20,5,45,4
20,6,45,3
20,7,45,2
20,8,45,2
20,9,45,3
20,10,45,3
20,11,45,3
20,12,46,2
20,13,46,1
20,14,45,3
20,15,45,3
20,16,45,2
20,17,45,2
20,18,45,3
20,19,45,3
20,20,45,4
21,1,52,5
21,2,65,5
21,3,56,5
21,4,52,3
21,5,53,4
21,6,70,2
21,7,58,2
21,8,56,4
21,9,52,2
21,10,50,2
21,11,52,3
21,12,59,3
21,13,54,3
21,14,71,2
21,15,58,4
21,16,52,3
21,17,57,2
21,18,52,4
21,19,62,4
21,20,50,3
22,1,63,4
22,2,65,4
22,3,66,4
22,4,68,2
22,5,64,3
22,6,61,5
22,7,67,4
22,8,66,3
22,9,70,3
22,10,67,3
22,11,62,2
22,12,63,3
22,13,70,3
22,14,64,4
22,15,67,2
22,16,64,3
22,17,63,3
22,18,70,3
22,19,66,3
22,20,65,4
23,1,54,5
23,2,49,4
23,3,58,4
23,4,51,3
23,5,59,4
23,6,56,4
23,7,56,4
23,8,56,4
23,9,54,3
23,10,61,3
23,11,52,3
23,12,52,5
23,13,57,4
23,14,55,4
23,15,54,5
23,16,56,6
23,17,57,5
23,18,57,3
23,19,59,5
23,20,52,3
24,1,71,3
24,2,67,3
24,3,76,3
24,4,62,5
24,5,64,3
24,6,65,4
24,7,70,5
24,8,66,4
24,9,68,4
24,10,71,5
24,11,72,4
24,12,66,5
24,13,78,3
24,14,68,4
24,15,69,5
24,16,67,6
24,17,69,5
24,18,63,5
24,19,63,5
24,20,65,4
25,1,63,7
25,2,66,7
25,3,68,8
25,4,62,8
25,5,64,6
25,6,67,8
25,7,62,7
25,8,67,5
25,9,74,8
25,10,69,8
25,11,63,8
25,12,59,5
25,13,66,6
25,14,69,8
25,15,65,7
25,16,72,7
25,17,61,5
25,18,64,6
25,19,73,5
25,20,66,6
26,1,74,7
26,2,77,8
26,3,75,8
26,4,74,8
26,5,75,6
26,6,76,7
26,7,74,6
26,8,76,6
26,9,74,8
26,10,74,5
26,11,76,7
26,12,80,9
26,13,76,9
26,14,76,8
26,15,73,9
26,16,73,6
26,17,80,5
26,18,77,7
26,19,79,7
26,20,76,7
27,1,66,8
27,2,70,7
27,3,70,6
27,4,64,8
27,5,69,8
27,6,65,7
27,7,72,5
27,8,66,9
27,9,63,9
27,10,64,6
27,11,64,7
27,12,61,8
27,13,63,4
27,14,68,5
27,15,65,4
27,16,66,8
27,17,64,4
27,18,61,5
27,19,67,8
27,20,65,8
28,1,80,7
28,2,80,6
28,3,77,6
28,4,73,7
28,5,75,5
28,6,77,8
28,7,80,5
28,8,75,7
28,9,77,5
28,10,76,4
28,11,73,5
28,12,74,7
28,13,84,7
28,14,74,8
28,15,78,4
28,16,73,4
28,17,78,8
28,18,72,8
28,19,75,6
28,20,79,8
29,1,101,10
29,2,119,9
29,3,106,9
29,4,121,7
29,5,116,8
29,6,116,6
29,7,109,6
29,8,127,6
29,9,114,11
29,10,102,12
29,11,109,10
29,12,112,10
29,13,106,9
29,14,125,8
29,15,107,11
29,16,121,9
29,17,122,9
29,18,132,9
29,19,123,10
29,20,129,7
30,1,134,11
30,2,138,11
30,3,123,9
30,4,138,11
30,5,127,11
30,6,134,6
30,7,127,10
30,8,150,7
30,9,140,11
30,10,135,7
30,11,124,11
30,12,117,11
30,13,127,11
30,14,131,8
30,15,130,6
30,16,125,11
30,17,114,10
30,18,118,11
30,19,127,11
30,20,133,11
31,1,114,8
31,2,119,7
31,3,108,10
31,4,122,11
31,5,115,15
31,6,116,13
31,7,108,11
31,8,110,9
31,9,117,13
31,10,121,13
31,11,126,9
31,12,120,11
31,13,117,13
31,14,116,14
31,15,113,10
31,16,113,13
31,17,117,13
31,18,111,8
31,19,112,8
31,20,122,8
32,1,125,7
32,2,125,13
32,3,122,12
32,4,142,14
32,5,116,14
32,6,164,13
32,7,120,9
32,8,145,11
32,9,145,9
32,10,137,9
32,11,127,10
32,12,132,13
32,13,143,13
32,14,138,11
32,15,129,13
32,16,127,9
32,17,149,8
32,18,126,7
32,19,143,7
32,20,127,7
