Group,Case,Move,Time
1,1,29,48
1,2,29,5
1,3,30,4
1,4,29,3
1,5,30,2
1,6,30,3
1,7,30,3
1,8,29,3
1,9,29,3
1,10,29,2
1,11,33,2
1,12,29,4
1,13,29,3
1,14,29,3
1,15,31,2
1,16,29,2
1,17,29,3
1,18,29,2
1,19,30,2
1,20,29,2
2,1,36,2
2,2,36,2
2,3,37,3
2,4,36,3
2,5,36,3
2,6,36,2
2,7,36,18
2,8,39,2
2,9,36,2
2,10,36,2
2,11,36,2
2,12,36,2
2,13,37,2
2,14,42,2
2,15,36,2
2,16,36,2
2,17,37,2
2,18,36,2
2,19,36,1
2,20,36,2
3,1,31,1
3,2,32,2
3,3,35,2
3,4,30,2
3,5,30,2
3,6,30,2
3,7,32,2
3,8,29,1
3,9,34,2
3,10,29,2
3,11,29,2
3,12,31,2
3,13,29,2
3,14,34,2
3,15,29,3
3,16,30,16
3,17,33,2
3,18,29,2
3,19,32,2
3,20,30,2
4,1,40,2
4,2,36,2
4,3,37,1
4,4,38,2
4,5,38,1
4,6,36,1
4,7,38,2
4,8,39,2
4,9,36,2
4,10,37,1
4,11,38,1
4,12,38,2
4,13,36,1
4,14,36,1
4,15,36,1
4,16,37,2
4,17,37,2
4,18,39,2
4,19,36,1
4,20,36,2
5,1,58,3
5,2,54,3
5,3,44,3
5,4,51,3
5,5,59,2
5,6,49,2
5,7,52,3
5,8,57,4
5,9,52,3
5,10,51,3
5,11,56,3
5,12,53,3
5,13,63,2
5,14,50,3
5,15,46,3
5,16,47,3
5,17,59,3
5,18,50,3
5,19,46,3
5,20,63,3
6,1,58,25
6,2,65,3
6,3,58,2
6,4,63,2
6,5,65,1
6,6,66,2
6,7,59,3
6,8,61,2
6,9,63,3
6,10,59,2
6,11,57,3
6,12,64,2
6,13,65,3
6,14,57,2
6,15,61,2
6,16,76,2
6,17,64,2
6,18,64,3
6,19,69,2
6,20,63,3
7,1,51,2
7,2,67,3
7,3,68,2
7,4,50,2
7,5,57,2
7,6,65,2
7,7,60,2
7,8,56,3
7,9,56,3
7,10,59,3
7,11,62,2
7,12,57,2
7,13,52,2
7,14,51,2
7,15,56,2
7,16,57,3
7,17,62,16
7,18,54,3
7,19,55,3
7,20,48,3
8,1,61,3
8,2,72,3
8,3,72,3
8,4,61,2
8,5,60,3
8,6,75,3
8,7,68,4
8,8,62,4
8,9,77,2
8,10,62,2
8,11,64,3
8,12,66,3
8,13,73,3
8,14,71,3
8,15,65,3
8,16,66,3
8,17,67,2
8,18,63,3
8,19,69,3
8,20,64,3
9,1,65,4
9,2,61,4
9,3,67,4
9,4,54,4
9,5,62,4
9,6,67,4
9,7,72,4
9,8,71,4
9,9,62,4
9,10,58,4
9,11,57,5
9,12,54,5
9,13,55,5
9,14,58,4
9,15,62,5
9,16,64,5
9,17,68,5
9,18,53,5
9,19,75,4
9,20,58,4
