Group,Case,Move,Time
1,1,29,29
1,2,29,7
1,3,29,1
1,4,29,1
1,5,29,2
1,6,29,2
1,7,29,2
1,8,29,2
1,9,29,1
1,10,29,1
1,11,31,1
1,12,29,1
1,13,29,1
1,14,29,1
1,15,29,1
1,16,29,1
1,17,29,0
1,18,29,1
1,19,29,1
1,20,29,1
2,1,36,0
2,2,36,1
2,3,36,1
2,4,36,1
2,5,36,1
2,6,36,12
2,7,36,1
2,8,36,0
2,9,36,1
2,10,36,1
2,11,36,1
2,12,36,1
2,13,36,1
2,14,36,0
2,15,36,1
2,16,36,1
2,17,36,1
2,18,36,1
2,19,36,1
2,20,36,0
3,1,29,1
3,2,29,0
3,3,29,1
3,4,29,1
3,5,29,1
3,6,29,1
3,7,29,1
3,8,29,0
3,9,29,1
3,10,29,1
3,11,29,0
3,12,29,1
3,13,29,0
3,14,34,2
3,15,29,1
3,16,29,1
3,17,30,1
3,18,29,1
3,19,32,1
3,20,29,1
4,1,36,1
4,2,36,0
4,3,36,1
4,4,36,0
4,5,36,1
4,6,36,0
4,7,36,0
4,8,36,1
4,9,36,1
4,10,36,0
4,11,36,1
4,12,36,1
4,13,36,0
4,14,36,1
4,15,36,1
4,16,36,0
4,17,36,0
4,18,36,1
4,19,36,1
4,20,36,0
5,1,58,1
5,2,49,1
5,3,41,1
5,4,43,2
5,5,51,2
5,6,49,1
5,7,46,1
5,8,48,1
5,9,52,1
5,10,41,1
5,11,53,2
5,12,47,1
5,13,55,2
5,14,49,2
5,15,47,2
5,16,41,2
5,17,61,1
5,18,52,1
5,19,43,5
5,20,44,1
6,1,56,1
6,2,58,1
6,3,58,1
6,4,53,0
6,5,59,1
6,6,60,1
6,7,61,1
6,8,54,1
6,9,53,1
6,10,56,1
6,11,60,1
6,12,60,1
6,13,61,1
6,14,53,1
6,15,56,1
6,16,67,1
6,17,59,1
6,18,57,1
6,19,54,1
6,20,56,1
7,1,57,1
7,2,56,1
7,3,63,0
7,4,52,0
7,5,52,1
7,6,50,1
7,7,53,1
7,8,54,1
7,9,49,1
7,10,51,1
7,11,55,0
7,12,58,1
7,13,58,1
7,14,49,1
7,15,54,2
7,16,51,1
7,17,54,1
7,18,52,1
7,19,52,1
7,20,51,0
8,1,56,1
8,2,59,1
8,3,65,1
8,4,59,1
8,5,50,1
8,6,59,1
8,7,63,1
8,8,62,1
8,9,63,1
8,10,62,1
8,11,61,1
8,12,59,1
8,13,61,1
8,14,58,1
8,15,55,1
8,16,61,1
8,17,55,0
8,18,58,0
8,19,77,0
8,20,57,0
9,1,62,1
9,2,60,1
9,3,62,0
9,4,55,1
9,5,62,1
9,6,62,2
9,7,70,1
9,8,67,1
9,9,56,2
9,10,56,2
9,11,53,2
9,12,52,2
9,13,54,2
9,14,58,1
9,15,66,2
9,16,60,2
9,17,62,2
9,18,53,2
9,19,75,2
9,20,62,2
10,1,79,2
10,2,58,2
10,3,58,2
10,4,68,2
10,5,61,2
10,6,64,2
10,7,62,2
10,8,64,2
10,9,69,2
10,10,60,2
10,11,62,128
10,12,64,1
10,13,59,2
10,14,58,1
10,15,58,1
10,16,58,1
10,17,62,1
10,18,60,1
10,19,61,1
10,20,58,1
11,1,70,1
11,2,75,2
11,3,55,1
11,4,66,1
11,5,55,1
11,6,62,2
11,7,64,2
11,8,61,1
11,9,60,1
11,10,52,1
11,11,59,1
11,12,61,1
11,13,64,1
11,14,61,1
11,15,58,1
11,16,72,1
11,17,60,1
11,18,55,1
11,19,56,1
11,20,59,1
12,1,64,1
12,2,61,2
12,3,64,1
12,4,65,1
12,5,61,1
12,6,69,1
12,7,58,1
12,8,67,1
12,9,59,1
12,10,68,2
12,11,69,1
12,12,61,1
12,13,58,1
12,14,58,1
12,15,68,1
12,16,71,0
12,17,61,1
12,18,62,3
12,19,63,1
12,20,62,0
13,1,99,1
13,2,108,1
13,3,103,2
13,4,117,2
13,5,123,2
13,6,109,2
13,7,97,2
13,8,111,2
13,9,113,2
13,10,94,2
13,11,88,2
13,12,107,2
13,13,107,1
13,14,104,1
13,15,113,1
13,16,97,2
13,17,95,1
13,18,105,2
13,19,127,2
13,20,132,3
14,1,129,2
14,2,116,1
14,3,121,2
14,4,117,1
14,5,150,2
14,6,117,2
14,7,125,1
14,8,116,3
14,9,130,2
14,10,130,3
14,11,106,4
14,12,121,3
14,13,141,3
14,14,117,4
14,15,126,4
14,16,141,3
14,17,133,3
14,18,124,3
14,19,125,3
14,20,110,2
15,1,114,3
15,2,130,4
15,3,102,3
15,4,104,3
15,5,122,3
15,6,108,3
15,7,100,3
15,8,145,2
15,9,99,4
15,10,143,3
15,11,104,3
15,12,109,3
15,13,102,3
15,14,101,3
15,15,92,3
15,16,104,3
15,17,110,3
15,18,112,2
15,19,106,2
15,20,105,2
16,1,108,1
16,2,146,2
16,3,131,1
16,4,153,2
16,5,135,2
16,6,124,2
16,7,135,2
16,8,151,1
16,9,120,2
16,10,117,1
16,11,157,2
16,12,134,2
16,13,132,2
16,14,155,2
16,15,122,2
16,16,136,1
16,17,125,1
16,18,149,1
16,19,121,1
16,20,116,1
17,1,36,1
17,2,36,1
17,3,37,1
17,4,37,1
17,5,38,0
17,6,37,0
17,7,36,1
17,8,36,1
17,9,36,1
17,10,36,1
17,11,38,1
17,12,36,1
17,13,36,1
17,14,39,1
17,15,36,1
17,16,36,1
17,17,36,1
17,18,36,1
17,19,36,1
17,20,36,1
18,1,45,1
18,2,45,1
18,3,45,0
18,4,45,1
18,5,45,1
18,6,45,1
