Group,Case,Move,Time,Iteration
1,1,12,6,10
1,2,8,2,6
1,3,2,0,1
1,4,7,2,6
1,5,4,0,3
1,6,8,0,6
1,7,8,2,6
1,8,6,0,5
1,9,10,3,9
1,10,12,6,11
1,11,7,2,6
1,12,10,5,8
1,13,11,7,10
1,14,11,7,9
1,15,9,5,8
1,16,9,4,8
1,17,8,2,4
1,18,7,3,6
1,19,14,14,13
1,20,15,15,14
1,21,15,11,14
1,22,12,25,11
1,23,9,2,7
1,24,12,4,10
1,25,9,6,8
1,26,5,0,3
1,27,8,2,7
1,28,12,11,11
1,29,12,9,11
1,30,10,4,9
1,31,8,1,6
1,32,5,0,4
1,33,7,2,6
1,34,11,6,10
1,35,8,2,5
1,36,9,2,7
1,37,8,0,5
1,38,10,5,7
1,39,0,0,0
1,40,10,6,9
2,1,10,7,9
2,2,7,2,6
2,3,13,26,12
2,4,6,1,4
2,5,10,13,6
2,6,12,24,11
2,7,14,15,13
2,8,9,2,6
2,9,7,2,6
2,10,14,24,12
2,11,10,2,5
2,12,8,4,7
2,13,5,0,4
2,14,8,2,7
2,15,10,8,9
2,16,11,7,9
2,17,7,3,5
2,18,9,4,8
2,19,9,7,5
2,20,8,3,7
2,21,11,6,6
2,22,11,2,8
2,23,7,1,5
2,24,11,12,10
2,25,8,0,4
2,26,8,8,7
2,27,5,2,4
2,28,10,5,9
2,29,13,20,12
2,30,11,5,8
2,31,8,4,6
2,32,8,2,4
2,33,12,19,11
2,34,9,2,5
2,35,9,5,7
2,36,10,6,5
2,37,8,2,5
2,38,7,2,4
2,39,7,1,4
2,40,8,5,5
3,1,10,12,6
3,2,12,17,11
3,3,11,7,9
3,4,6,0,3
3,5,14,29,11
3,6,13,21,12
3,7,7,3,3
3,8,14,46,13
3,9,12,19,10
3,10,9,4,7
3,11,15,25,13
3,12,12,5,7
3,13,15,37,13
3,14,7,5,6
3,15,13,34,7
3,16,9,4,5
3,17,12,15,8
3,18,8,6,7
3,19,10,4,5
3,20,13,15,12
3,21,9,6,7
3,22,9,13,6
3,23,10,15,9
3,24,10,12,8
3,25,9,11,8
3,26,10,5,6
3,27,10,5,7
3,28,10,6,6
3,29,11,9,7
3,30,7,4,5
3,31,13,13,8
3,32,8,4,7
3,33,10,18,9
3,34,8,3,6
3,35,10,8,7
3,36,10,17,8
3,37,15,32,13
3,38,5,2,4
3,39,9,21,8
3,40,9,10,8
4,1,13,94,12
4,2,9,10,5
4,3,12,31,8
4,4,9,9,6
4,5,7,2,4
4,6,13,31,10
4,7,15,73,11
4,8,13,19,9
4,9,12,29,9
4,10,9,10,5
4,11,4,0,0
4,12,11,17,10
4,13,10,10,7
4,14,11,24,7
4,15,11,26,10
4,16,15,47,7
4,17,13,8,6
4,18,11,46,10
4,19,12,20,10
4,20,10,16,7
4,21,15,32,12
4,22,12,46,9
4,23,14,47,11
4,24,15,62,10
4,25,9,5,6
4,26,17,88,16
4,27,13,21,10
4,28,9,15,8
4,29,10,11,8
4,30,13,57,11
4,31,11,12,6
4,32,10,9,7
4,33,12,19,10
4,34,12,53,11
4,35,7,3,5
4,36,11,30,10
4,37,11,24,8
4,38,13,53,10
4,39,11,30,8
4,40,11,22,10
5,1,9,8,6
5,2,13,6,8
5,3,14,131,13
5,4,13,55,11
5,5,15,139,8
5,6,14,51,10
5,7,16,104,14
5,8,12,46,11
5,9,13,44,9
5,10,11,60,9
5,11,12,27,7
5,12,13,128,10
5,13,11,16,9
5,14,14,54,10
5,15,10,13,7
5,16,13,53,8
5,17,16,111,14
5,18,13,61,12
5,19,15,84,14
5,20,12,113,11
5,21,13,31,11
5,22,18,114,12
5,23,11,8,6
5,24,8,12,6
5,25,13,52,11
5,26,14,51,13
5,27,16,74,13
5,28,14,133,13
5,29,17,113,14
5,30,15,87,14
5,31,10,40,7
5,32,11,51,9
5,33,16,66,10
5,34,10,35,6
5,35,16,95,14
5,36,10,23,7
5,37,11,4,3
