group,poolsize,lookdepth,lookwidth,avesol,avetime
1,20,3,20,9.35,0.007050000000000003
2,20,3,20,9.45,0.007825000000000002
3,20,3,20,10.45,0.012550000000000006
4,20,3,20,11.575,0.019175000000000008
5,20,3,20,13.125,0.031625
6,20,3,20,13.9,0.046875
7,20,3,20,16.975,0.06135
8,20,3,20,18.9,0.112075
9,20,3,20,20.25,0.19150000000000006
10,20,3,20,23.15,0.33117500000000005
11,20,3,20,26.425,0.22112499999999993
12,20,3,20,27.375,0.3945999999999999
13,20,3,20,32.075,0.9969000000000001
14,20,3,20,34.2,1.507125
15,20,3,20,38.625,3.03035
16,20,3,20,42.15,4.6152999999999995
17,20,3,20,44.85,7.455924999999998
18,20,3,20,43.8,2.511325
19,20,3,20,60.55,23.4238
20,20,3,20,116.175,23.0107
21,20,3,20,150.175,287.92045
