Group,Case,Move,Time
1,1,15,8
1,2,9,0
1,3,2,1
1,4,10,0
1,5,4,1
1,6,9,1
1,7,12,1
1,8,7,0
1,9,12,0
1,10,16,0
1,11,7,0
1,12,18,1
1,13,11,0
1,14,13,0
1,15,10,0
1,16,10,0
1,17,11,1
1,18,7,0
1,19,17,0
1,20,15,0
1,21,16,0
1,22,12,0
1,23,19,1
1,24,23,0
1,25,9,0
1,26,9,0
1,27,9,0
1,28,12,0
1,29,12,0
1,30,13,0
1,31,12,1
1,32,7,0
1,33,7,1
1,34,16,0
1,35,9,0
1,36,12,0
1,37,11,0
1,38,15,1
1,39,0,0
1,40,12,0
2,1,14,0
2,2,8,1
2,3,16,0
2,4,7,0
2,5,12,0
2,6,14,0
2,7,19,0
2,8,11,0
2,9,8,0
2,10,18,0
2,11,14,1
2,12,14,0
2,13,5,1
2,14,10,0
2,15,10,0
2,16,15,0
2,17,12,0
2,18,13,0
2,19,12,0
2,20,11,0
2,21,16,1
2,22,14,0
2,23,8,1
2,24,13,0
2,25,15,0
2,26,9,0
2,27,5,0
2,28,15,0
2,29,18,0
2,30,15,0
2,31,9,0
2,32,11,0
2,33,13,0
2,34,15,0
2,35,9,0
2,36,15,1
2,37,12,0
2,38,12,0
2,39,12,0
2,40,10,0
3,1,15,1
3,2,13,0
3,3,13,0
3,4,6,0
3,5,19,1
3,6,21,0
3,7,11,0
3,8,18,0
3,9,17,0
3,10,12,0
3,11,21,0
3,12,17,0
3,13,22,1
3,14,10,0
3,15,14,0
3,16,9,0
3,17,16,0
3,18,11,0
3,19,13,1
3,20,15,0
3,21,10,0
3,22,14,0
3,23,11,0
3,24,14,0
3,25,11,0
3,26,15,0
3,27,10,1
3,28,15,0
3,29,16,0
3,30,10,1
3,31,18,0
3,32,8,0
3,33,14,0
3,34,11,1
3,35,11,1
3,36,11,0
3,37,17,0
3,38,7,0
3,39,11,0
3,40,11,0
4,1,16,0
4,2,12,1
4,3,16,0
4,4,10,0
4,5,7,0
4,6,18,1
4,7,24,0
4,8,17,0
4,9,16,0
4,10,10,1
4,11,6,1
4,12,12,0
4,13,12,0
4,14,13,0
4,15,14,1
4,16,21,0
4,17,17,1
4,18,13,0
4,19,16,1
4,20,10,0
4,21,24,1
4,22,16,0
4,23,17,1
4,24,20,1
4,25,12,0
4,26,25,1
4,27,19,0
4,28,12,0
4,29,15,0
4,30,15,0
4,31,12,0
4,32,13,0
4,33,16,0
4,34,15,0
4,35,10,1
4,36,12,0
4,37,15,0
4,38,16,1
4,39,12,0
4,40,19,0
5,1,15,0
5,2,19,0
5,3,16,0
5,4,17,1
5,5,21,0
5,6,17,0
5,7,20,0
5,8,14,0
5,9,17,1
5,10,12,0
5,11,17,1
5,12,17,0
5,13,14,0
5,14,18,0
5,15,14,0
5,16,18,0
5,17,19,0
5,18,18,0
5,19,19,0
5,20,14,0
5,21,18,1
5,22,24,0
5,23,18,1
5,24,8,0
5,25,16,0
5,26,16,0
5,27,19,0
5,28,15,0
5,29,22,0
5,30,18,1
5,31,13,0
5,32,16,1
5,33,21,0
5,34,13,0
5,35,17,0
5,36,12,0
5,37,16,0
5,38,18,0
5,39,12,1
5,40,15,1
6,1,10,1
6,2,15,0
6,3,20,0
6,4,21,0
6,5,19,0
6,6,15,1
6,7,23,0
6,8,20,0
6,9,15,0
6,10,19,1
6,11,17,0
6,12,17,0
6,13,19,1
6,14,17,0
6,15,11,0
6,16,18,0
6,17,17,0
6,18,11,0
6,19,19,1
6,20,18,0
6,21,20,1
6,22,15,0
6,23,15,0
6,24,16,0
6,25,21,0
6,26,22,1
6,27,8,0
6,28,18,0
6,29,18,0
6,30,16,0
6,31,20,1
