Group,Case,Move,Time
1,1,19,7
1,2,14,0
1,3,2,0
1,4,8,1
1,5,5,0
1,6,23,0
1,7,10,0
1,8,7,0
1,9,12,0
1,10,14,0
1,11,9,1
1,12,18,0
1,13,21,1
1,14,11,0
1,15,9,0
1,16,10,0
1,17,9,0
1,18,7,0
1,19,31,1
1,20,23,0
1,21,17,0
1,22,14,0
1,23,22,0
1,24,13,0
1,25,14,1
1,26,6,0
1,27,8,0
1,28,15,0
1,29,28,0
1,30,10,0
1,31,13,0
1,32,5,1
1,33,7,0
1,34,14,1
1,35,10,0
1,36,11,1
1,37,19,0
1,38,16,1
1,39,0,0
1,40,14,1
2,1,13,0
2,2,8,1
2,3,17,0
2,4,10,0
2,5,16,0
2,6,14,0
2,7,16,1
2,8,11,1
2,9,8,0
2,10,18,0
2,11,14,0
2,12,16,1
2,13,5,1
2,14,10,0
2,15,10,0
2,16,13,1
2,17,10,0
2,18,12,0
2,19,13,0
2,20,8,0
2,21,12,0
2,22,13,0
2,23,7,0
2,24,11,0
2,25,10,0
2,26,9,0
2,27,5,0
2,28,19,0
2,29,24,0
2,30,16,0
2,31,10,0
2,32,9,0
2,33,16,1
2,34,13,1
2,35,9,0
2,36,16,0
2,37,11,0
2,38,12,0
2,39,14,0
2,40,9,0
3,1,12,0
3,2,14,0
3,3,13,0
3,4,6,0
3,5,17,0
3,6,15,0
3,7,7,0
3,8,15,0
3,9,19,0
3,10,11,0
3,11,20,0
3,12,16,0
3,13,20,0
3,14,10,1
3,15,13,0
3,16,9,0
3,17,14,0
3,18,14,0
3,19,11,0
3,20,14,0
3,21,11,0
3,22,15,0
3,23,11,0
3,24,12,0
3,25,11,0
3,26,11,0
3,27,10,0
3,28,11,0
3,29,13,1
3,30,10,1
3,31,19,0
3,32,9,0
3,33,11,1
3,34,13,0
3,35,11,0
3,36,12,0
3,37,22,0
3,38,7,0
3,39,10,0
3,40,12,0
4,1,16,0
4,2,11,0
4,3,16,0
4,4,13,1
4,5,7,0
4,6,16,0
4,7,22,0
4,8,17,0
4,9,15,0
4,10,10,0
4,11,4,0
4,12,17,0
4,13,12,1
4,14,17,0
4,15,13,0
4,16,24,1
4,17,17,0
4,18,11,0
4,19,15,0
4,20,10,1
4,21,19,0
4,22,15,0
4,23,18,1
4,24,16,0
4,25,12,0
4,26,22,0
4,27,16,0
4,28,11,1
4,29,15,0
4,30,13,0
4,31,12,0
4,32,15,0
4,33,16,0
4,34,14,0
4,35,10,0
4,36,11,0
4,37,16,0
4,38,14,1
4,39,12,0
4,40,15,0
5,1,12,0
5,2,15,0
5,3,17,0
5,4,14,0
5,5,25,0
5,6,17,0
5,7,22,1
5,8,15,0
5,9,17,0
5,10,12,0
5,11,13,0
5,12,14,0
5,13,14,0
5,14,16,0
5,15,12,0
5,16,16,0
5,17,18,0
5,18,16,1
5,19,19,0
5,20,13,1
5,21,15,1
5,22,20,0
5,23,14,0
5,24,11,0
5,25,13,0
5,26,20,0
5,27,18,0
5,28,16,0
5,29,17,1
5,30,18,0
5,31,13,0
5,32,17,0
5,33,24,0
5,34,11,0
5,35,20,0
5,36,16,0
5,37,14,0
5,38,19,0
5,39,12,0
5,40,15,0
6,1,11,0
6,2,22,0
6,3,18,0
6,4,20,0
6,5,18,0
6,6,16,0
6,7,23,1
6,8,20,0
6,9,15,0
6,10,18,0
6,11,13,0
6,12,17,0
6,13,20,1
6,14,15,0
6,15,14,0
6,16,13,0
6,17,15,0
6,18,11,0
6,19,17,0
6,20,17,1
6,21,18,0
6,22,16,1
6,23,15,0
6,24,16,0
6,25,15,0
6,26,21,0
6,27,9,1
6,28,18,1
6,29,20,0
6,30,16,0
6,31,16,0
6,32,18,0
6,33,18,0
6,34,19,0
6,35,18,0
6,36,17,0
6,37,13,0
6,38,18,0
6,39,12,0
6,40,16,0
7,1,18,0
7,2,20,0
7,3,31,0
7,4,17,0
7,5,19,1
7,6,9,0
7,7,27,0
7,8,17,0
7,9,7,0
7,10,23,0
7,11,12,0
7,12,25,0
7,13,26,0
7,14,28,0
7,15,18,0
7,16,36,0
7,17,12,0
7,18,27,0
7,19,18,1
7,20,23,0
7,21,27,0
7,22,20,0
7,23,25,0
7,24,24,0
7,25,29,0
7,26,24,0
7,27,34,0
7,28,20,0
7,29,26,0
7,30,22,0
7,31,32,0
7,32,18,0
7,33,33,0
7,34,20,0
7,35,39,0
7,36,35,0
7,37,17,0
7,38,29,0
7,39,22,0
7,40,25,0
8,1,32,0
8,2,24,0
8,3,28,0
8,4,17,0
8,5,24,0
8,6,23,0
8,7,21,0
8,8,38,1
8,9,25,0
8,10,16,1
8,11,22,0
8,12,24,0
8,13,19,0
8,14,28,1
8,15,36,0
8,16,23,0
8,17,32,0
8,18,24,0
8,19,22,0
8,20,26,0
8,21,26,0
8,22,34,0
8,23,39,1
8,24,31,0
8,25,26,0
8,26,29,0
8,27,19,0
8,28,17,0
8,29,31,0
8,30,39,0
8,31,37,0
8,32,30,0
8,33,24,0
8,34,33,0
8,35,25,0
8,36,21,0
8,37,26,0
8,38,25,0
8,39,32,0
8,40,21,0
9,1,35,0
9,2,17,0
9,3,26,0
9,4,34,0
9,5,27,0
9,6,27,0
9,7,30,0
9,8,23,0
9,9,29,0
9,10,27,0
9,11,25,0
9,12,26,0
9,13,22,0
9,14,19,0
9,15,35,0
9,16,21,0
9,17,32,0
9,18,41,0
9,19,33,1
9,20,23,0
9,21,26,0
9,22,19,2
9,23,18,0
9,24,38,0
9,25,31,0
9,26,30,0
9,27,23,0
9,28,31,0
9,29,25,0
9,30,21,0
9,31,19,0
9,32,29,0
9,33,21,0
9,34,36,0
9,35,30,0
9,36,36,0
9,37,35,0
9,38,20,0
9,39,26,0
9,40,37,0
10,1,27,0
10,2,27,0
10,3,22,0
10,4,31,0
10,5,29,0
10,6,30,0
10,7,32,0
10,8,25,0
10,9,26,0
10,10,29,0
10,11,28,0
10,12,40,0
10,13,25,0
10,14,34,0
10,15,28,0
10,16,29,0
10,17,29,0
10,18,33,0
10,19,25,0
10,20,31,0
10,21,34,0
10,22,38,1
10,23,20,0
10,24,36,0
10,25,34,0
10,26,34,0
10,27,29,0
10,28,45,0
10,29,28,0
10,30,22,0
10,31,34,0
10,32,25,1
10,33,28,0
10,34,25,0
10,35,35,1
10,36,30,0
10,37,28,0
10,38,30,0
10,39,32,0
10,40,30,0
11,1,34,0
11,2,76,0
11,3,34,0
11,4,38,0
11,5,58,0
11,6,42,1
11,7,35,0
11,8,45,0
11,9,36,0
11,10,32,0
11,11,30,0
11,12,45,0
11,13,50,0
11,14,56,0
11,15,54,0
11,16,66,0
11,17,51,0
11,18,19,0
11,19,40,0
11,20,25,0
11,21,49,0
11,22,39,0
11,23,20,0
11,24,41,0
11,25,34,0
11,26,77,0
11,27,41,0
11,28,56,0
11,29,50,0
11,30,33,0
11,31,56,0
11,32,50,0
11,33,46,1
11,34,57,0
11,35,48,1
11,36,40,0
11,37,33,0
11,38,56,0
11,39,38,0
11,40,63,0
12,1,61,0
12,2,39,0
12,3,55,0
12,4,40,1
12,5,44,0
12,6,39,0
12,7,31,0
12,8,38,0
12,9,25,0
12,10,48,0
12,11,38,0
12,12,37,0
12,13,38,0
12,14,41,0
12,15,48,0
12,16,43,0
12,17,43,0
12,18,43,0
12,19,43,0
12,20,53,0
12,21,42,0
12,22,36,0
12,23,36,0
12,24,46,0
12,25,56,0
12,26,65,0
12,27,48,0
12,28,46,0
12,29,44,0
12,30,28,0
12,31,45,0
12,32,41,0
12,33,57,0
12,34,38,0
12,35,40,0
12,36,34,0
12,37,35,0
12,38,34,0
12,39,39,1
12,40,39,0
13,1,60,0
13,2,39,0
13,3,63,0
13,4,68,0
13,5,44,1
13,6,36,0
13,7,37,0
13,8,49,0
13,9,57,0
13,10,52,0
13,11,39,0
13,12,56,0
13,13,47,0
13,14,61,0
13,15,49,0
13,16,46,0
13,17,61,0
13,18,68,0
13,19,40,0
13,20,32,0
13,21,53,0
13,22,38,0
13,23,61,0
13,24,51,0
13,25,52,0
13,26,75,0
13,27,53,0
13,28,42,0
13,29,54,0
13,30,34,1
13,31,38,1
13,32,62,1
13,33,57,0
13,34,51,0
13,35,56,0
13,36,42,0
13,37,55,0
13,38,57,1
13,39,33,0
13,40,57,0
14,1,36,1
14,2,43,0
14,3,54,0
14,4,45,0
14,5,50,0
14,6,39,0
14,7,31,0
14,8,44,0
14,9,36,0
14,10,50,0
14,11,49,1
14,12,63,0
14,13,58,1
14,14,50,0
14,15,45,0
14,16,59,0
14,17,54,0
14,18,48,0
14,19,46,0
14,20,66,0
14,21,42,0
14,22,47,0
14,23,55,0
14,24,48,0
14,25,46,0
14,26,49,0
14,27,58,0
14,28,50,0
14,29,55,0
14,30,53,1
14,31,42,0
14,32,53,0
14,33,51,1
14,34,60,0
14,35,47,0
14,36,44,0
14,37,36,0
14,38,40,0
14,39,62,0
14,40,49,0
15,1,61,1
15,2,40,0
15,3,57,0
15,4,55,0
15,5,74,0
15,6,46,0
15,7,42,0
15,8,57,0
15,9,55,0
15,10,67,0
15,11,78,0
15,12,57,1
15,13,48,0
15,14,67,0
15,15,55,0
15,16,54,1
15,17,40,0
15,18,55,0
15,19,45,0
15,20,56,0
15,21,68,0
15,22,77,1
15,23,42,0
