Group,Case,Move,Time,Iteration
1,1,12,6,10
1,2,8,1,6
1,3,2,0,1
1,4,7,2,6
1,5,4,0,3
1,6,8,0,6
1,7,8,1,6
1,8,6,1,5
1,9,10,3,9
1,10,12,10,11
1,11,7,2,6
1,12,10,3,8
1,13,11,4,10
1,14,11,3,9
1,15,9,2,8
1,16,9,2,8
1,17,8,1,4
1,18,7,2,6
1,19,14,8,13
1,20,15,9,14
1,21,15,10,14
1,22,12,7,11
1,23,9,2,7
1,24,12,3,10
1,25,9,3,8
1,26,5,0,3
1,27,8,1,6
1,28,12,6,11
1,29,12,5,11
1,30,10,3,9
1,31,8,1,6
1,32,5,0,4
1,33,7,2,6
1,34,11,5,10
1,35,8,2,5
1,36,9,1,7
1,37,8,0,5
1,38,10,3,7
1,39,0,0,0
1,40,10,3,9
2,1,10,7,8
2,2,7,2,6
2,3,13,11,12
2,4,6,0,4
2,5,10,6,6
2,6,12,14,11
2,7,14,14,13
2,8,9,2,6
2,9,7,1,6
2,10,14,17,12
2,11,10,3,5
2,12,8,3,7
2,13,5,0,4
2,14,8,2,7
2,15,10,6,9
2,16,11,4,9
2,17,7,3,5
2,18,9,4,8
2,19,9,4,5
2,20,8,4,7
2,21,11,5,6
2,22,11,2,8
2,23,7,1,5
2,24,11,9,10
2,25,8,0,4
2,26,8,7,7
2,27,5,2,4
2,28,10,4,9
2,29,13,19,12
2,30,11,5,8
2,31,8,3,6
2,32,8,2,4
2,33,12,13,11
2,34,9,2,5
2,35,9,3,7
2,36,10,5,5
2,37,8,2,5
2,38,7,2,4
2,39,7,1,4
2,40,8,4,5
3,1,10,11,6
3,2,12,17,11
3,3,11,6,9
3,4,6,1,3
3,5,14,24,11
3,6,13,14,12
3,7,7,2,3
3,8,14,39,13
3,9,12,18,10
3,10,9,4,7
3,11,15,24,13
3,12,12,4,7
3,13,15,32,13
3,14,7,5,6
3,15,13,18,7
3,16,9,3,5
3,17,12,14,8
3,18,8,7,7
3,19,10,5,5
3,20,13,14,12
3,21,9,6,7
3,22,9,12,6
3,23,10,18,9
3,24,10,12,8
3,25,9,10,8
3,26,10,5,6
3,27,10,4,7
3,28,10,6,6
3,29,11,9,7
3,30,7,8,5
3,31,13,19,8
3,32,8,5,7
3,33,10,12,9
3,34,8,3,6
3,35,10,7,7
3,36,10,11,8
3,37,15,33,13
3,38,5,1,4
3,39,9,12,8
3,40,9,10,8
4,1,13,57,12
4,2,9,12,5
4,3,12,28,8
4,4,9,9,6
4,5,7,2,4
4,6,13,30,10
4,7,15,52,11
4,8,13,14,9
4,9,12,22,9
4,10,9,10,5
4,11,4,0,0
4,12,11,16,10
4,13,10,10,7
4,14,11,20,7
4,15,11,24,10
4,16,15,37,7
4,17,13,8,6
4,18,11,27,10
4,19,12,16,10
4,20,10,16,7
4,21,15,30,12
4,22,12,44,9
4,23,14,33,11
4,24,15,42,10
4,25,9,5,6
4,26,17,79,16
4,27,13,20,10
4,28,9,14,8
4,29,10,11,8
4,30,13,42,11
4,31,11,11,6
4,32,10,9,7
4,33,12,18,10
4,34,12,35,11
4,35,7,3,5
4,36,11,27,10
4,37,11,19,8
4,38,13,43,10
4,39,11,37,8
4,40,11,17,10
5,1,9,7,6
5,2,13,4,8
5,3,14,91,13
5,4,13,50,11
5,5,15,88,8
5,6,14,45,8
5,7,16,105,14
5,8,12,48,11
5,9,13,43,9
5,10,11,59,9
5,11,12,26,7
5,12,13,111,10
5,13,11,16,9
5,14,14,52,10
5,15,10,12,7
5,16,13,52,8
5,17,16,106,14
5,18,13,57,12
5,19,15,89,14
5,20,12,102,11
5,21,13,30,11
5,22,18,112,12
5,23,11,8,6
5,24,8,13,6
5,25,13,49,11
5,26,14,62,13
5,27,16,76,13
5,28,14,118,13
5,29,17,108,15
5,30,15,97,14
5,31,10,38,7
5,32,11,41,9
5,33,16,60,10
5,34,10,34,6
5,35,16,112,14
5,36,10,18,7
5,37,11,3,3
5,38,14,71,12
5,39,9,8,6
5,40,13,15,8
6,1,10,46,8
6,2,14,159,13
6,3,15,85,10
6,4,14,65,9
6,5,16,97,11
6,6,10,5,6
6,7,19,316,18
6,8,16,119,14
6,9,12,62,10
6,10,16,114,11
