Group,Case,Move,Time
1,1,17,7
1,2,15,1
1,3,3,0
1,4,7,0
1,5,7,1
1,6,12,1
1,7,8,0
1,8,6,1
1,9,13,1
1,10,18,0
1,11,9,0
1,12,12,0
1,13,14,0
1,14,12,0
1,15,10,0
1,16,9,1
1,17,10,1
1,18,8,1
1,19,16,0
1,20,16,0
1,21,17,0
1,22,14,0
1,23,10,1
1,24,13,0
1,25,9,0
1,26,5,0
1,27,11,0
1,28,13,1
1,29,17,1
1,30,11,0
1,31,12,0
1,32,5,0
1,33,7,1
1,34,14,0
1,35,12,0
1,36,14,1
1,37,16,0
1,38,11,0
1,39,0,1
1,40,18,0
2,1,10,1
2,2,8,1
2,3,14,1
2,4,8,0
2,5,12,0
2,6,13,0
2,7,17,0
2,8,9,0
2,9,7,0
2,10,15,0
2,11,12,1
2,12,8,0
2,13,5,1
2,14,9,0
2,15,10,0
2,16,16,0
2,17,9,0
2,18,9,0
2,19,12,0
2,20,9,0
2,21,16,1
2,22,11,0
2,23,7,0
2,24,13,0
2,25,8,0
2,26,9,0
2,27,5,0
2,28,14,0
2,29,14,0
2,30,17,0
2,31,9,0
2,32,10,0
2,33,14,0
2,34,12,0
2,35,9,0
2,36,16,1
2,37,10,0
2,38,7,0
2,39,7,0
2,40,12,0
3,1,15,0
3,2,13,0
3,3,14,0
3,4,6,0
3,5,16,0
3,6,15,0
3,7,7,0
3,8,14,0
3,9,17,0
3,10,9,0
3,11,15,0
3,12,14,0
3,13,19,0
3,14,7,0
3,15,14,1
3,16,12,0
3,17,15,0
3,18,10,0
3,19,12,0
3,20,13,1
3,21,10,0
3,22,13,0
3,23,13,0
3,24,12,1
3,25,9,0
3,26,13,0
3,27,17,0
3,28,11,0
3,29,13,0
3,30,9,0
3,31,14,1
3,32,9,0
3,33,10,1
3,34,9,0
3,35,10,1
3,36,12,0
3,37,16,0
3,38,6,0
3,39,9,0
3,40,11,1
4,1,14,0
4,2,10,0
4,3,14,1
4,4,12,0
4,5,7,0
4,6,17,0
4,7,20,1
4,8,13,0
4,9,15,0
4,10,9,0
4,11,4,1
4,12,14,0
4,13,10,0
4,14,13,0
4,15,11,0
4,16,17,0
4,17,17,0
4,18,13,0
4,19,14,1
4,20,11,0
4,21,17,0
4,22,16,1
4,23,16,0
4,24,16,0
4,25,10,1
4,26,19,1
4,27,14,0
4,28,10,0
4,29,11,0
4,30,14,0
4,31,11,0
4,32,10,0
4,33,14,0
4,34,12,0
4,35,7,1
4,36,12,1
4,37,11,0
4,38,16,0
4,39,15,0
4,40,13,0
5,1,9,0
5,2,13,0
5,3,15,0
5,4,15,0
5,5,18,0
5,6,16,0
5,7,19,0
5,8,12,1
5,9,16,1
5,10,11,0
5,11,12,0
5,12,16,0
5,13,17,1
5,14,14,0
5,15,11,0
5,16,14,0
5,17,17,0
5,18,15,0
5,19,18,0
5,20,13,0
5,21,19,1
5,22,19,0
5,23,11,0
5,24,10,0
5,25,13,0
5,26,19,0
5,27,18,0
5,28,16,0
5,29,19,1
5,30,16,1
5,31,14,0
5,32,11,0
5,33,22,0
5,34,11,0
5,35,19,0
5,36,13,0
5,37,11,0
5,38,16,0
5,39,9,0
5,40,13,0
6,1,10,1
6,2,22,1
6,3,15,0
6,4,15,1
6,5,18,1
6,6,11,0
6,7,21,0
6,8,17,0
6,9,12,0
6,10,20,0
6,11,13,0
6,12,14,0
6,13,18,0
6,14,17,0
6,15,13,1
6,16,15,0
6,17,19,0
6,18,11,0
6,19,15,0
6,20,18,1
6,21,16,0
6,22,19,1
6,23,12,1
6,24,16,1
6,25,15,0
6,26,21,1
6,27,10,0
6,28,16,0
6,29,17,1
6,30,13,1
6,31,18,0
6,32,15,0
6,33,13,0
6,34,17,1
6,35,18,0
6,36,14,1
6,37,15,0
6,38,19,1
6,39,12,0
6,40,16,0
7,1,15,0
7,2,22,0
7,3,28,0
7,4,21,0
7,5,27,1
7,6,10,0
7,7,28,0
7,8,27,1
7,9,8,0
7,10,17,1
7,11,12,0
7,12,20,0
7,13,28,0
7,14,21,0
7,15,17,1
7,16,29,0
7,17,16,0
7,18,28,0
7,19,22,0
7,20,23,0
7,21,22,0
7,22,13,0
7,23,28,0
7,24,22,1
7,25,29,0
7,26,22,0
7,27,29,0
7,28,27,1
7,29,22,0
7,30,21,0
7,31,22,0
7,32,18,0
7,33,26,0
7,34,19,0
7,35,27,0
7,36,20,0
7,37,20,0
7,38,22,0
7,39,24,0
7,40,23,0
8,1,21,0
8,2,22,0
8,3,31,1
8,4,19,1
8,5,22,0
8,6,26,0
8,7,16,0
8,8,28,0
8,9,30,0
8,10,18,0
8,11,18,0
8,12,21,0
8,13,20,0
8,14,24,0
8,15,26,1
8,16,13,0
8,17,28,0
8,18,18,0
8,19,22,0
8,20,25,0
8,21,25,0
8,22,30,0
8,23,26,0
8,24,19,0
8,25,26,0
8,26,27,0
8,27,20,0
8,28,19,0
8,29,25,1
8,30,26,0
8,31,21,1
8,32,29,1
8,33,23,0
8,34,31,0
8,35,24,0
8,36,19,1
8,37,20,0
8,38,18,0
8,39,26,0
8,40,21,0
9,1,26,0
9,2,16,0
9,3,28,0
9,4,33,0
9,5,20,0
9,6,24,0
9,7,31,0
9,8,25,0
9,9,21,0
9,10,28,0
9,11,21,0
