Group,Case,LB,IS,Res,Time,Width,Sequence
1,1,9,13,13,0.082,20,[4(9) : 3->2] [9(8) : 3->2] [8(7) : 3->1] [9(8) : 2->3] [9(8) : 3->0] [8(7) : 1->3] [8(7) : 3->0] [1(3) : 1->2] [7(2) : 1->3] [7(2) : 3->0] [1(3) : 2->1] [4(9) : 2->1] [5(6) : 2->1] [6(5) : 2->3] [6(5) : 3->0] [5(6) : 1->3] [5(6) : 3->0] [4(9) : 1->3] [4(9) : 3->0] [3(1) : 1->0] [2(4) : 2->0] [1(3) : 1->0]
1,2,7,13,9,0.002,20,[9(9) : 3->1] [5(8) : 3->2] [1(7) : 3->2] [9(9) : 1->3] [9(9) : 3->0] [8(3) : 1->3] [8(3) : 3->0] [7(1) : 1->0] [6(2) : 1->0] [1(7) : 2->3] [5(8) : 2->1] [5(8) : 1->0] [4(6) : 2->1] [4(6) : 1->0] [3(5) : 2->1] [3(5) : 1->0] [2(4) : 2->0] [1(7) : 3->0]
1,3,9,11,11,0.003,20,[8(9) : 3->1] [9(8) : 3->1] [2(7) : 3->2] [9(8) : 1->3] [9(8) : 3->0] [8(9) : 1->3] [8(9) : 3->0] [4(3) : 1->2] [7(2) : 1->3] [7(2) : 3->0] [6(1) : 1->0] [4(3) : 2->3] [2(7) : 2->3] [5(6) : 2->1] [5(6) : 1->0] [4(3) : 3->0] [3(5) : 2->1] [3(5) : 1->0] [2(7) : 3->0] [1(4) : 2->0]
1,4,9,15,12,0.004,20,[2(3) : 1->2] [8(2) : 1->2] [6(1) : 1->2] [9(9) : 3->1] [9(9) : 1->0] [6(1) : 2->1] [5(8) : 3->1] [4(7) : 3->1] [8(2) : 2->3] [8(2) : 3->0] [2(3) : 2->1] [3(6) : 2->1] [7(5) : 2->3] [7(5) : 3->0] [6(1) : 1->0] [5(8) : 1->0] [4(7) : 1->0] [3(6) : 1->3] [3(6) : 3->0] [2(3) : 1->0] [1(4) : 2->0]
1,5,9,15,12,0.003,20,[1(6) : 2->3] [8(5) : 2->3] [3(4) : 2->3] [9(3) : 1->2] [9(3) : 2->0] [6(2) : 1->2] [3(4) : 3->2] [2(1) : 1->2] [8(5) : 3->1] [8(5) : 1->0] [1(6) : 3->2] [5(9) : 3->2] [7(8) : 3->1] [7(8) : 1->0] [6(2) : 2->0] [5(9) : 2->1] [5(9) : 1->0] [4(7) : 3->0] [3(4) : 2->0] [2(1) : 2->0] [1(6) : 2->0]
1,6,7,9,9,0.002,20,[9(1) : 1->0] [8(3) : 1->2] [5(2) : 1->3] [8(3) : 2->1] [8(3) : 1->0] [7(6) : 2->1] [7(6) : 1->0] [6(5) : 2->1] [6(5) : 1->0] [5(2) : 3->1] [5(2) : 1->0] [3(9) : 3->2] [4(8) : 3->1] [4(8) : 1->0] [3(9) : 2->1] [3(9) : 1->0] [2(4) : 2->0] [1(7) : 3->0]
1,7,6,8,8,0.0,20,[9(7) : 3->0] [4(9) : 3->1] [1(8) : 3->1] [8(6) : 2->3] [8(6) : 3->0] [1(8) : 1->2] [4(9) : 1->2] [7(3) : 1->3] [7(3) : 3->0] [6(2) : 1->3] [6(2) : 3->0] [5(4) : 2->0] [4(9) : 2->3] [4(9) : 3->0] [3(5) : 2->0] [2(1) : 1->0] [1(8) : 2->0]
1,8,9,14,11,0.002,20,[5(9) : 3->2] [8(8) : 3->2] [2(7) : 3->2] [9(3) : 1->3] [9(3) : 3->0] [7(2) : 1->3] [6(1) : 1->3] [2(7) : 2->3] [8(8) : 2->1] [8(8) : 1->0] [7(2) : 3->0] [6(1) : 3->0] [5(9) : 2->1] [5(9) : 1->0] [4(6) : 2->1] [4(6) : 1->0] [3(5) : 2->1] [3(5) : 1->0] [2(7) : 3->0] [1(4) : 2->0]
1,9,7,10,10,0.002,20,[8(9) : 3->1] [9(8) : 3->1] [6(7) : 3->2] [9(8) : 1->3] [9(8) : 3->0] [8(9) : 1->3] [8(9) : 3->0] [7(4) : 2->0] [6(7) : 2->3] [6(7) : 3->0] [4(3) : 1->2] [5(2) : 1->3] [5(2) : 3->0] [4(3) : 2->3] [4(3) : 3->0] [3(1) : 1->0] [2(6) : 2->1] [2(6) : 1->0] [1(5) : 2->0]
1,10,7,13,11,0.001,20,[7(3) : 1->3] [6(2) : 1->3] [8(1) : 1->3] [9(6) : 2->1] [9(6) : 1->0] [8(1) : 3->1] [8(1) : 1->0] [6(2) : 3->1] [4(5) : 2->1] [3(4) : 2->1] [7(3) : 3->2] [7(3) : 2->0] [6(2) : 1->0] [2(9) : 3->1] [5(8) : 3->2] [5(8) : 2->0] [4(5) : 1->0] [3(4) : 1->0] [2(9) : 1->0] [1(7) : 3->0]
