group,case,lb-dfs,t-dfs,lb-maxknap,t-maxkanap,lb-fb,t-fb
1,1,9,78,9,78,9,78
1,2,5,0,5,0,5,0
1,3,2,0,2,0,2,0
1,4,4,0,4,0,4,0
1,5,3,0,3,0,3,0
1,6,7,0,7,0,7,0
1,7,6,0,6,0,6,0
1,8,4,0,4,0,4,0
1,9,7,0,7,0,7,0
1,10,9,0,9,0,9,0
1,11,4,0,4,0,3,0
1,12,7,0,7,0,7,0
1,13,7,0,7,0,7,0
1,14,9,0,9,0,9,0
1,15,6,0,6,0,6,0
1,16,6,0,6,0,6,0
1,17,5,0,5,0,5,0
1,18,4,0,4,0,4,0
1,19,9,0,9,0,9,0
1,20,9,0,9,0,9,0
1,21,9,0,9,0,9,0
1,22,7,0,7,0,7,0
1,23,7,0,7,0,7,0
1,24,9,0,9,0,9,0
1,25,5,0,5,0,5,0
1,26,4,0,4,0,4,0
1,27,6,0,6,0,6,0
1,28,7,0,7,0,7,0
1,29,9,0,9,0,9,0
1,30,7,0,7,0,7,0
1,31,5,0,5,0,5,0
1,32,3,0,3,0,3,0
1,33,4,0,4,0,3,0
1,34,7,0,7,0,7,0
1,35,7,0,7,0,7,0
1,36,7,0,7,0,7,0
1,37,7,0,7,0,7,0
1,38,7,0,7,0,7,0
1,39,0,0,0,0,0,0
1,40,5,0,5,0,5,0
2,1,6,0,6,0,6,0
2,2,5,0,5,0,5,0
2,3,11,0,11,0,11,0
2,4,5,0,5,0,5,0
2,5,7,0,7,0,7,0
2,6,9,0,9,0,9,0
2,7,11,0,11,0,11,0
2,8,8,0,8,0,8,0
2,9,5,0,5,0,5,0
2,10,12,0,12,0,12,0
2,11,9,0,9,0,9,0
2,12,5,0,5,0,5,0
2,13,4,0,4,0,4,0
2,14,6,0,6,0,6,0
2,15,7,0,7,0,7,0
2,16,10,0,10,0,10,0
2,17,5,0,5,0,4,0
2,18,7,0,7,0,7,0
2,19,8,0,8,0,8,0
2,20,5,0,5,0,5,0
2,21,9,0,9,0,9,0
2,22,11,0,11,0,11,0
2,23,5,0,5,0,5,0
2,24,8,0,8,0,8,0
2,25,8,0,8,0,8,0
2,26,5,0,5,0,4,0
2,27,3,0,3,0,3,0
2,28,8,0,8,0,8,0
2,29,11,0,11,0,11,0
2,30,9,0,9,0,9,0
2,31,5,0,5,0,5,0
2,32,7,0,7,0,7,0
2,33,8,0,8,0,8,0
2,34,8,0,8,0,8,0
2,35,6,0,6,0,6,0
2,36,8,0,8,0,8,0
2,37,7,0,7,0,7,0
2,38,4,0,4,0,4,0
2,39,5,0,5,0,5,0
2,40,5,0,5,0,5,0
3,1,7,0,6,0,6,0
3,2,10,0,10,0,10,0
3,3,10,0,10,0,10,0
3,4,5,0,5,0,5,0
3,5,11,0,11,0,11,0
3,6,11,0,11,0,11,0
3,7,5,0,5,0,5,0
3,8,11,0,11,0,11,0
3,9,8,0,8,0,8,0
3,10,7,0,7,0,7,0
3,11,14,0,14,0,14,0
3,12,11,0,11,0,11,0
3,13,12,0,12,0,12,0
3,14,6,0,6,0,5,0
3,15,10,0,10,0,10,0
3,16,7,0,7,0,7,0
3,17,10,0,10,0,10,0
3,18,6,0,6,0,6,0
3,19,8,0,8,0,8,0
3,20,11,0,11,0,11,0
3,21,7,0,7,0,7,0
3,22,7,0,7,0,7,0
3,23,8,0,8,0,8,0
3,24,8,0,8,0,8,0
3,25,6,0,6,0,6,0
3,26,9,0,9,0,9,0
3,27,8,0,8,0,8,0
3,28,9,0,9,0,9,0
3,29,10,0,10,0,10,0
3,30,5,0,5,0,5,0
3,31,11,0,11,0,11,0
3,32,7,0,7,0,7,0
3,33,7,0,7,0,7,0
3,34,6,0,6,0,6,0
3,35,9,0,9,0,9,0
3,36,7,0,7,0,7,0
3,37,13,0,13,0,13,0
3,38,4,0,4,0,4,0
3,39,6,0,6,0,6,0
3,40,7,0,7,0,7,0
4,1,10,0,10,0,10,0
4,2,9,0,9,0,9,0
4,3,10,0,10,0,10,0
4,4,8,0,8,0,8,0
4,5,6,0,6,0,6,0
4,6,12,0,12,0,12,0
4,7,14,0,14,0,14,0
4,8,12,0,12,0,12,0
4,9,11,0,11,0,11,0
4,10,7,0,7,0,7,0
4,11,4,0,4,0,4,0
4,12,9,0,9,0,9,0
4,13,9,0,9,0,9,0
4,14,9,0,9,0,9,0
4,15,10,0,10,0,10,0
4,16,14,0,14,0,14,0
4,17,11,0,11,0,11,0
4,18,8,0,8,0,8,0
4,19,11,0,11,0,11,0
4,20,9,0,9,0,9,0
4,21,13,0,13,0,13,0
4,22,10,0,10,0,10,0
4,23,12,0,12,0,12,0
4,24,13,0,13,0,13,0
4,25,8,0,8,0,8,0
4,26,14,0,14,0,14,0
4,27,11,0,11,0,11,15
4,28,7,0,7,0,7,0
4,29,8,0,8,0,8,0
4,30,9,0,9,0,9,0
4,31,10,0,10,0,10,0
4,32,9,0,9,0,9,0
4,33,10,0,10,0,10,0
4,34,9,0,9,0,9,0
4,35,7,0,7,0,7,0
4,36,8,0,8,0,8,0
4,37,10,0,10,0,10,0
4,38,11,0,11,0,11,0
4,39,10,0,10,0,10,0
4,40,9,0,9,0,9,0
5,1,8,0,8,0,8,0
5,2,12,0,12,0,12,0
5,3,10,0,10,0,10,0
5,4,11,0,11,0,11,0
5,5,14,0,14,0,14,0
5,6,11,0,11,0,11,0
5,7,13,0,13,0,13,0
5,8,10,0,10,0,10,0
5,9,11,0,11,0,11,0
5,10,9,0,9,0,9,0
5,11,11,0,11,0,11,0
5,12,10,0,10,0,10,0
5,13,10,0,10,0,10,0
5,14,12,0,12,0,12,0
5,15,9,0,9,0,9,0
5,16,13,0,13,0,13,0
5,17,14,0,14,0,14,0
5,18,11,0,11,0,11,0
5,19,13,0,13,0,13,0
5,20,10,0,10,0,10,0
5,21,12,0,12,0,12,0
5,22,16,0,16,0,16,0
5,23,11,0,11,0,11,0
5,24,7,0,7,0,7,0
5,25,11,0,11,0,11,0
5,26,11,0,11,0,11,0
5,27,14,0,14,0,14,0
5,28,11,0,11,0,11,0
5,29,15,0,15,0,15,0
5,30,13,0,13,0,13,0
5,31,8,0,8,0,8,0
5,32,9,0,9,0,9,0
5,33,13,0,13,0,13,0
5,34,9,0,9,0,9,0
5,35,15,0,15,0,15,0
5,36,9,0,9,0,9,0
5,37,10,0,10,0,10,0
5,38,12,0,12,0,12,0
5,39,9,0,9,0,9,0
5,40,13,0,13,0,13,0
6,1,9,0,9,0,9,0
6,2,12,0,12,0,12,0
6,3,14,0,14,0,14,0
6,4,13,0,13,0,13,0
6,5,15,0,15,0,15,0
6,6,10,0,10,0,10,0
6,7,16,0,16,0,16,0
6,8,15,0,15,0,15,0
6,9,11,0,11,0,11,0
6,10,14,0,14,0,14,0
6,11,10,0,10,0,10,0
6,12,12,0,12,0,12,0
6,13,14,0,14,0,14,0
6,14,11,0,11,0,11,0
6,15,10,0,10,0,10,0
6,16,10,0,10,0,10,0
6,17,10,0,10,0,10,0
6,18,9,0,9,0,9,0
6,19,13,0,13,0,13,0
