group,case,res,time
1,1,29,0
1,2,29,0
1,3,29,0
1,4,29,0
1,5,29,0
1,6,29,0
1,7,29,0
1,8,29,0
1,9,29,0
1,10,29,0
1,11,31,0
1,12,29,0
1,13,29,0
1,14,29,0
1,15,29,0
1,16,29,0
1,17,29,0
1,18,29,0
1,19,29,0
1,20,29,0
2,1,36,0
2,2,36,0
2,3,36,0
2,4,36,0
2,5,36,0
2,6,36,0
2,7,36,0
2,8,36,0
2,9,36,0
2,10,36,0
2,11,36,0
2,12,36,0
2,13,36,0
2,14,36,0
2,15,36,0
2,16,36,0
2,17,36,0
2,18,36,0
2,19,36,0
2,20,36,0
3,1,29,0
3,2,29,0
3,3,29,0
3,4,29,0
3,5,29,0
3,6,29,0
3,7,29,0
3,8,29,0
3,9,29,0
3,10,29,0
3,11,29,0
3,12,29,0
3,13,29,0
3,14,31,0
3,15,29,0
3,16,29,0
3,17,29,0
3,18,29,0
3,19,30,0
3,20,29,0
4,1,36,0
4,2,36,0
4,3,36,0
4,4,36,0
4,5,36,0
4,6,36,0
4,7,36,0
4,8,36,0
4,9,36,0
4,10,36,0
4,11,36,0
4,12,36,0
4,13,36,0
4,14,36,0
4,15,36,0
4,16,36,0
4,17,36,0
4,18,36,0
4,19,36,0
4,20,36,0
5,1,42,11
5,2,42,0
5,3,40,0
5,4,43,60
5,5,41,0
5,6,43,0
5,7,41,0
5,8,42,0
5,9,43,0
5,10,39,1
5,11,44,21
5,12,41,0
5,13,42,9
5,14,42,0
5,15,42,0
5,16,41,12
5,17,44,1
5,18,44,1
5,19,40,4
5,20,42,2
6,1,49,0
6,2,48,7
6,3,50,0
6,4,50,0
6,5,50,3
6,6,50,0
6,7,50,0
6,8,49,8
6,9,48,0
6,10,49,2
6,11,49,0
6,12,50,0
6,13,50,1
6,14,50,10
6,15,49,3
6,16,52,15
6,17,50,1
6,18,51,1
6,19,49,5
6,20,49,0
7,1,41,18
7,2,43,23
7,3,159,60
7,4,41,8
7,5,45,6
7,6,42,0
7,7,104,60
7,8,43,13
7,9,42,22
7,10,44,15
7,11,43,10
7,12,44,8
7,13,43,0
7,14,41,2
7,15,43,58
7,16,41,0
